Sequence no,School name,City,Zipcode,Arizona Ranking ,National ranking,Total students,English score % (proficient),Maths score% (proficient),Student-teacher ratio,Drop-out rate %,Total incidents of violence
52,Nfl Yet College Prep Academy,Phoenix,85040,237,"13,261",313,23,7,-1:1,3.48,5
53,Mountain Pointe High School,Phoenix,85044,184,"10,513",1713,35,21,23.3:1,3.18,84
54,Moon Valley High School,Phoenix,85029,67,"4,202",1488,28,25,21.6:1,1.82,36
55,Midtown High School,Phoenix,85035,N/A,N/A,N/A,N/A,N/A,-1:1,23.53,0
56,Metro Tech High School,Phoenix,85015,40,"2,564",1804,28,18,14.3:1,0.28,4
57,Metropolitan Arts Institute,Phoenix,85007,172,"9,815",250,49,21,-1:1,0,4
58,Maryvale High School,Phoenix,85033,209,"11,592",2795,11,7,21.5:1,4.45,24
59,Maricopa Institute of Technology,Phoenix,85043,N/A,N/A,57,44,12,N/A,N/A,N/A
60,Madison Highland Prep,Phoenix,85014,17,807,456,33,33,-1:1,0,0
61,Linda Abril Educational Academy,Phoenix,85015,N/A,N/A,277,3,0,N/A,17.51,2
62,Learning Institute the,Phoenix,85014,N/A,N/A,102,0,6,-1:1,3.62,0
63,Kelly,Phoenix,85034,N/A,N/A,25,10,5,N/A,N/A,17
64,Kaizen Education Foundation Dba Summit High Scool,Phoenix,85006,N/A,N/A,192,4,2,-1:1,24.08,43
65,Kaizen Education Foundation Dba Quest High School,Phoenix,85042,N/A,N/A,87,5,5,-1:1,29.56,0
66,Kaizen Education Foundation Dba Maya High School,Phoenix,85051,N/A,N/A,393,4,0,-1:1,20.92,15
67,International Commerece High School - Phoenix,Phoenix,85041,N/A,N/A,200,8,2,N/A,21.4,0
68,Intelli-School - Paradise Valley,Phoenix,85022,N/A,N/A,62,23,0,-1:1,24.43,0
69,Intelli-School - Metro Center,Phoenix,85029,N/A,N/A,54,7,6,-1:1,29.08,0
70,Horizon Honors Secondary School,Phoenix,85048,20,1120,697,43,31,N/A,0.39,3
71,Hope High School,Phoenix,85043,N/A,N/A,141,5,0,N/A,19.82,17
72,Hope College and Career Readiness Academy,Phoenix,85042,N/A,N/A,82,0,0,N/A,11.11,19
73,Greenway High School ,Phoenix,85053,69,4254,1346,35,20,21:1,0.97,56
74,Great Hearts Academics - Veritas Prep,Phoenix,85018,85,5303,802,51,31,-1:1,0.69,0
75,Great Hearts Academics - North Phoenix Prep ,Phoenix,85032,64,4142,522,57,32,N/A,9.82,0
76,Great Hearts Academics - Maryvale Prep,Phoenix,85031,N/A,N/A,1041,23,24,N/A,2.12,0
77,Glenview Colege Preparatory High School,Phoenix,85301,161,9164,523,38,27,-1:1,0.84,0
78,Girls Leadership Academy of Arizona,Phoenix,85013,317,17680,74,7,0,-1:1,9.17,0
79,Genesis Academy,Phoenix,85004,N/A,N/A,53,N/A,N/A,-1:1,43.27,0
80,Gateway Early College High School,Phoenix,85034,155,8646,333,25,22,-1:1,0.29,0
81,Franklin Police and Fire High School,Phoenix,85007,65,4163,321,29,21,10.4:1,0,2
82,Empower College Prep High School,Phoenix,85015,234,13196,375,16,7,N/A,2.15,N/A
83,e-Institute at Metro,Phoenix,85038,N/A,N/A,872,13,6,-1:1,15.72,0
84,Desert Vista High School,Phoenix,85048,44,2801,2953,46,32,24:1,1.34,29
85,Desert Marigold SChool,Phoenix,85042,N/A,N/A,303,34,9,-1:1,0,0
86,Crestview College Preparatory High School,Phoenix,85032,N/A,N/A,246,2,0,-1:1,29.88,1
87,Cortez High School,Phoenix,85051,136,7914,1104,26,20,20.5:1,1.5,55
88,Cornerstone Charter School,Phoenix,85021,N/A,N/A,150,3,3,-1:1,24.6,0
89,Copper State Academy,Phoenix,85006,N/A,N/A,17,N/A,N/A,N/A,22.58,N/A
90,Continued Hope High Schools,Phoenix,----,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
91,City View High School,Phoenix,85003,N/A,N/A,90,6,0,N/A,10.81,2
92,Central High School,Phoenix,85012,202,11309,1901,18,9,17.1:1,6.12,29
